Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778160447252,65534,2373,1472,1024,7,47,12,1,2463,10000,0
1778160447292,65533,2378,1472,1027,9,51,10,0,2463,10000,0
1778160447352,65533,2377,1471,1027,7,48,12,3,2463,10000,0
1778160447412,65534,2374,1472,1025,6,48,11,1,2463,10000,0
1778160447492,65533,2369,1474,1027,7,48,10,1,2463,10000,0
1778160447552,65534,2372,1472,1026,6,45,14,3,2463,10000,0
1778160447592,65533,2369,1472,1026,6,45,8,1,2463,10000,0
1778160447672,65533,2368,1472,1025,7,47,7,0,2463,10000,0
1778160447732,65534,2368,1472,1027,9,48,8,3,2463,10000,0
1778160447812,65534,2368,1472,1025,5,48,10,1,2463,10000,0
1778160447852,65533,2366,1474,1025,4,48,12,3,2463,10000,0
1778160447892,65534,2368,1472,1025,6,48,11,1,2463,10000,0
1778160447952,65534,2366,1472,1025,6,47,12,3,2463,10000,0
1778160448032,65534,2366,1472,1027,6,47,10,3,2463,10000,0
1778160448092,0,2366,1474,1024,6,48,12,3,2463,10000,0
1778160448152,65534,2369,1471,1026,7,47,12,4,2463,10000,0
1778160448192,65534,2366,1474,1027,5,47,10,1,2463,10000,0
1778160448252,65533,2368,1471,1024,4,48,10,0,2463,10000,0
1778160448332,0,2369,1472,1026,9,49,8,4,2463,10000,0
1778160448372,65534,2369,1472,1027,9,49,8,3,2463,10000,0
1778160448452,2370,37,1472,1024,6,47,12,18,2463,10000,0
1778160448492,2315,20,1472,1024,7,48,10,11,2463,10000,0
1778160448572,2144,5,1472,1025,9,47,14,7,2463,10000,0
1778160448612,2104,3,1471,1025,7,49,11,4,2463,10000,0
1778160448692,2022,1,1471,1027,5,48,8,3,2463,10000,0
1778160448732,2044,1,1472,1026,6,47,11,4,2463,10000,0
1778160448812,2170,65535,1474,1025,6,48,11,4,2463,10000,0
1778160448852,1947,1,1472,1025,5,47,7,1,2463,10000,0
1778160448912,2097,65533,1472,1025,7,48,10,1,2463,10000,0
1778160448992,2278,65531,1472,1025,7,49,8,1,2463,10000,0
1778160449052,2347,65531,1472,1027,7,49,10,1,2463,10000,0
1778160449092,2364,65529,1472,1027,7,48,8,1,2463,10000,0
1778160449132,2368,65531,1474,1026,6,47,9,0,2463,10000,0
1778160449212,2375,65531,1474,1026,5,49,8,4,2463,10000,0
1778160449272,2382,65531,1474,1025,6,47,12,4,2463,10000,0
1778160449332,2385,65533,1472,1025,5,49,12,4,2463,10000,0
1778160449392,2387,65531,1472,1025,8,48,11,1,2463,10000,0
1778160449452,2392,65531,1472,1025,6,45,10,1,2463,10000,0
1778160449492,2393,65532,1471,1025,6,48,11,3,2463,10000,0
1778160449552,2397,65532,1472,1027,6,47,9,1,2463,10000,0
1778160449612,2397,65531,1474,1025,6,49,12,3,2463,10000,0
1778160449672,2394,65531,1472,1025,6,49,10,3,2463,10000,0
1778160449732,2393,65532,1472,1025,7,48,12,3,2463,10000,0
1778160449792,2396,65531,1472,1026,7,49,10,1,2463,10000,0
1778160449872,2393,65531,1472,1026,4,47,12,3,2463,10000,0
1778160449892,2393,65531,1472,1027,7,48,12,3,2463,10000,0
1778160449972,2393,65531,1474,1025,4,49,10,1,2463,10000,0
1778160450012,2394,65531,1472,1025,6,47,10,4,2463,10000,0
1778160450092,2393,65533,1474,1026,6,48,12,1,2463,10000,0
1778160450132,2394,65531,1472,1026,8,48,11,4,2463,10000,0
